[2018-02-26 21:09:47] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:11:37] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:11:53] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:12:21] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:12:51] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:13:24] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:13:45] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:14:05] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:16:15] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:16:36] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:16:45] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:19:06] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:20:06] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:20:28] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:20:47] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:20:48] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:21:00] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:21:01] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:21:09] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:21:58] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:22:27] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:23:17] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:23:34] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:24:32] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:24:51] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:25:33] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:25:59] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:26:16] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:26:19] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 21:26:21] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

[2018-02-26 22:02:40] [128.72.190.40] Connect to data base - true; DB Name = pubggami_shop;

